,published_date,trending_date,category_id,channel_title,tags,video_title,views,likes,dislikes,comments,description,channel_id,link,thumbnail,hour_trending,video_lang,count,country,category_title
0,2021-01-31T20:18:30Z,2021-02-01T10:00:00Z,22,Free Fire - Brasil,"['garena', 'free', 'fire', 'free fire', 'diamante royale', 'pro league', 'modo cs', 'contra squad', 'jogo mobile', 'mobile', 'nova skin', 'ao vivo', 'garena free fire', 'free fire brasil', 'garena brasil', 'nova atualização', 'codiguin', 'lbff', 'liga brasileira', 'campeonato garena', 'lbff ao vivo', 'free fire ao vivo']",LBFF 4 - Rodada 4 - Grupos B e A | Free Fire,2815459,,2062,1569,"Siga as redes sociais de Esports Free Fire e fique por dentro de tudo!

Twitter - https://twitter.com/FFesportsBR
Instagram - https://www.instagram.com/FFesportsBR
Facebook - https://www.facebook.com/FreeFireEsportsBR
Discord - http://discord.gg/freefire

Grupo A
SS e-Sports
Cruzeiro
INTZ
B4
LOUD
Fluxo

Grupo B
Vivo Keyd
Corinthians Free Fire
Team oNe
Black Dragons
FURIA
Flamengo

Grupo C
Team Liquid
RED Canids Kalunga
Santos e-Sports
paiN Gaming
GOD
META Gaming

#LBFF #FreeFire",UCr4ARxgElIO21GWfIraZezg,https://youtu.be/ArDFbln95J0,https://i.ytimg.com/vi/ArDFbln95J0/mqdefault.jpg,10,pt,1,BR,People & Blogs
1,2021-01-31T22:01:35Z,2021-02-01T10:00:00Z,22,Caio Araujo,"['Caio Araújo', 'Gringa', 'Miami', 'lamborghini', 'sv', 'carros exoticos', 'carro novo', 'new car', 'mercedes', 'glc 300', '2021']",COMPREI UM CARRO NOVO PRA MINHA MULHER,126064,,139,413,"Canal oficialmente patrocinado pela #BangEnergy​

Use o código CAIOA25 e ganhe 25% de desconto nos produtos do site da BANG

https://bang-energy.com/​

#EnergyDrink​

Sigam https://youtube.com/c/BangEnergy​ & https://youtube.com/c/JackOwoc

CANAL DA VITORIA : 

https://www.youtube.com/channel/UCtv6kCFVfnTvgF2scoiyewQ

CONFIRA MEU CANAL DE JOGOS
http://bit.ly/Itscaiogaming

Me siga nas redes sociais!
• Instagram ► https://instagram.com/caiolucasm
• Facebook ► https://www.facebook.com/caioaraujoyt",UCxXe1Bjpw5Y00YzqZc6CGRw,https://youtu.be/PDBpMKecMgU,https://i.ytimg.com/vi/PDBpMKecMgU/mqdefault.jpg,10,pt,1,BR,People & Blogs
2,2021-01-30T20:01:57Z,2021-02-01T10:00:00Z,22,Free Fire - Brasil,"['garena', 'free', 'fire', 'free fire', 'diamante royale', 'pro league', 'modo cs', 'contra squad', 'jogo mobile', 'mobile', 'nova skin', 'ao vivo', 'garena free fire', 'free fire brasil', 'garena brasil', 'nova atualização', 'codiguin', 'lbff', 'liga brasileira', 'campeonato garena', 'lbff ao vivo', 'free fire ao vivo']",LBFF 4 - Rodada 3 - Grupos B e C | Free Fire,2412057,,2280,1040,"Os grupos B e C se enfrentaram pela Rodada 3 da LBFF. 

Perdeu a transmissão ao vivo? Então se liga na minutagem:

Countdown - 00:00​
Abertura - 15:00​
Queda 1 Purgatório - Início 29:28
Queda 1 Purgatório - Booyah! da GOD 47:40
Queda 2 Kalahari - Início 1:08:30​
Queda 2 Kalahari - Booyah! do GOD 1:17:30
Queda 3 Bermuda - Início 1:30:38
Queda 3 Bermuda - Booyah! do Santos e-Sports 1:47:50
Queda 4 Purgatório - Início 1:59:27
Queda 4 Purgatório - Booyah! da GOD 2:16:43
Queda 5 Kalahari - Início 2:33:00​ 
Queda 5 Kalahari - Booyah! do Santos e-Sports 2:48:44
Queda 6 Bermuda - Início 3:01:16
Queda 6 Bermuda - Booyah! da Vivo Keyd 3:18:42
Destaques do Dia - 3:24:58
Líderes de abates - 3:25:45
Tabela de Classificação - 3:26:55
Entrevista - Gneral (GOD) - 3:10:15

Siga as redes sociais de Esports Free Fire e fique por dentro de tudo!

Twitter - https://twitter.com/FFesportsBR
Instagram - https://www.instagram.com/FFesportsBR
Facebook - https://www.facebook.com/FreeFireEspo...
Discord - http://discord.gg/freefire

Grupo A
SS e-Sports
Cruzeiro
INTZ
B4
LOUD
Fluxo

Grupo B
Vivo Keyd
Corinthians Free Fire
Team oNe
Black Dragons
FURIA
Flamengo

Grupo C
Team Liquid
RED Canids Kalunga
Santos e-Sports
paiN Gaming
GOD
META Gaming",UCr4ARxgElIO21GWfIraZezg,https://youtu.be/OFK1a-PBwrg,https://i.ytimg.com/vi/OFK1a-PBwrg/mqdefault.jpg,10,pt,1,BR,People & Blogs
3,2021-02-01T01:30:01Z,2021-02-01T10:00:00Z,22,anna dreamy ASMR,"['asmr', 'asmr egirl', 'egirl asmr', 'asmr relaxante', 'asmr arrepios', 'asmr camadas', 'asmr sons de boca', 'asmr mouth sounds', 'asmr sono', 'asmr dormir', 'asmr satisfatório', 'asmr tapping']",ASMR PARA QUEM NÃO SENTE ARREPIOS | SONS DE CAMADAS,63468,,127,1004,"nao sente arrepios com asmr? duvido nao sentir agora hehehe 

espero que gostem ♥️

instagram: annadreamyasmr 


bom soninho zZzZz",UCe7SFOrT6D_ubcwkQMUG7eA,https://youtu.be/FIoUvaQAeX8,https://i.ytimg.com/vi/FIoUvaQAeX8/mqdefault.jpg,10,,1,BR,People & Blogs
4,2021-01-31T18:15:00Z,2021-02-01T10:00:00Z,22,Adilson Figueira,"['frango assado', 'receitas fáceis', 'receitas rápidas', 'receita de frango', 'receita de frango no forno', 'receita de frango desfiado', 'como fazer frango com quiabo', 'como fazer frango desfiado', 'como fazer frango cozido', 'frango', 'Adilson Figueira', 'como fazer', 'receita simples', 'receita simples de frango']",NÃO FRITE FRANGO!! VOU TE  ENSINAR UMA MANEIRA DIFERENTE DE FAZER,55830,,152,229,"Um jeito diferente de fazer aquele frango em sua casa muito simples e muito saboroso que vai surpreender a todos em sua casa pois é uma receita que você vai querer fazer sempre em sua casa aqui em casa todos adoram essa receita 

##################
Macarrão cremoso almoço de domingo
Vídeo da receita:  *  https://youtu.be/lJbUGR2DJmQ
##################

###### Me segue lá no instagram : ######
https://www.instagram.com/_adilsonfigueira

Instagram da Tamiris figueira 
https://www.instagram.com/tamirisfigueira
_____________________________________________

Venha participar do nosso grupo de motos :
https://www.facebook.com/groups/325117822006513/

//////////////////////////////////
Me segue no Facebook :
https://www.facebook.com/receitasgostosasecaseiras
//////////////////////////////

querem enviar um cartinha ou presente para nosso canal o endereço é este aqui :

CAIXA POSTAL :
************************
Adilson Martins figueira
CAIXA POSTAL 5026
Rua 4 n 811 Setor Central
CEP. 74025970 - Goiânia - GO
*************************--  

Ingredientes :


1 kg de frango com preferencia com mais carne 
4 batata medias 500 gr 
1 cebola pequena
2 pimentões médio
1 colher de café de gengibre 
1 tomate grande
sal a gosto
pimenta gosto
cheiro verde a gosto
2 colher de amido de milho ( maisena )
2 colher de sopa de óleo
4 dente de alho
1 colher de açafrão
1 colher de pimenta calabresa seca 
2 colher de sopa de molho de extrato",UCNkiQbGp_yePvUJ8cUp-7cA,https://youtu.be/HjQwqUrXosc,https://i.ytimg.com/vi/HjQwqUrXosc/mqdefault.jpg,10,pt,1,BR,People & Blogs
5,2021-01-31T15:24:48Z,2021-02-01T10:00:00Z,22,Cartoleiros Gazeta do Povo,"['cartola', 'cartola fc', 'cartola 2020', 'dicas cartola 2020', 'cartola fc 2020', 'cartoleiros gazeta do povo', 'gazeta do povo cartola', 'cartoleiros gp', 'professor cartola', 'dicas cartola 10ª rodada', 'dicas cartola rodada 10', 'futeloucos']",LIVE DICAS RODADA 33 | CARTOLA FC 2020: GABI + GOL PARA NOS AJUDAR A MITAR!,62231,,72,62,"Vou tirar dúvidas e montar os nossos times para a 33ª rodada do Cartola FC 2020. O mercado vai fechar neste domingo, às 15h! #cartola #cartolafc #cartolafc2020  

- Inscrição para liga tiro curto Futeloucos com premiação: http://futeloucos.com/site/index.php/user/registrar/?code=8608955

- Siga o Cartoleiros também no Instagram: https://www.instagram.com/cartoleirosgp/

*

Grupo gratuito no Telegram: https://t.me/cartoleirosgazeta

Receba as dicas da rodada no seu e-mail: https://bit.ly/3imY7Kn

Twitter: https://twitter.com/Cartoleiros_GP

Blog: https://www.gazetadopovo.com.br/blogs/cartoleiros/

E-mail profissional: cartoleirosgp@gmail.com",UCJVbvkrBLp7L2pnaqc5CmQQ,https://youtu.be/rIYMSrfEZr8,https://i.ytimg.com/vi/rIYMSrfEZr8/mqdefault.jpg,10,,1,BR,People & Blogs
6,2021-01-31T20:39:55Z,2021-02-01T10:00:00Z,24,hu3cat,"['animação', 'engraçados', 'deu ruim', 'desenho', 'luz', 'banho', 'energia', 'luz acabou', 'durante o banho', 'acabou a força', 'gato', 'coco', 'aula', 'classe', 'aluno', 'amigos', 'pais', 'adultos', 'mãe', 'casa']",Acabou a luz durante o banho (História Animada),208001,,202,3908,"Ser adulto é mais dificil do que se espera, quando a gente é criança pensa que ser adulto é ter solução pra tudo. Infelizmente nao é assim, descobri enquanto tomava um banho e a luz acabou, que mesmo sendo adulto eu não tenho idéia do que fazer em várias situações, e peço ajuda aos meus pais.


Conheça o meu canal secundário também:
https://www.youtube.com/channel/UCIGmf3KlVW85yeMxFbOHO9g

----------------------------------------------------------------------------

Twitter:
https://twitter.com/hu3thom
As vezes eu posto uns previews la, me segue se quiser :3
----------------------------------------------------------------------------

Track: Different Heaven & EH!DE - My Heart [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/jK2aIUmmdP4",UCFWaTjtZPLt9FwXxQsamozg,https://youtu.be/qvg7emw8ROQ,https://i.ytimg.com/vi/qvg7emw8ROQ/mqdefault.jpg,10,pt,1,BR,Entertainment
7,2021-01-31T15:00:14Z,2021-02-01T10:00:00Z,24,Viih Tube,,EM PROVA 2 - O jogo (EPISÓDIO 4),1151575,,1474,2993,"Pra entender, assista: 
1 - Em Prova (Primeira Temporada)
2 - Amiga Do Inimigo (Netflix)

CRÉDITOS

ROTEIRO
Bruno Alcântara
ViihTube

DIREÇÃO 
Plinio Scambora 

ELENCO

Estrelando VIIHTUBE como BIA
VIVI como MANU
BRUNO ALCÂNTARA como FREIO
DAINARA PARIZ como SOFI
JON VLOGS como LUCA
LUCAS RANGEL como PIMENTA
LUIZA PARENTE como NAT
MUCA MURIÇOCA como CÉLIO
TAINE SANTTOS como AMÉLIA
THOMAZ COSTA como GUSTAVO
UJOÃOZINHO como CHICO
MARCELA PANTALEÃO como JÚLIA
ANANDA como GABI
CAROL BRESOLIN como CAMILA
BRUNO MAGRI como NETO

PRODUÇÃO EXECUTIVA
Vitória Moraes
Junior Cesar
Bruno Alcântara

CO-PRODUÇÃO EXECUTIVA
Viviane Moraes

IDEALIZAÇÃO
ViihTube

Cinegrafista 1: Daividson Mainart
Cinegrafista 2: Wesley Papai
Cinegrafista 3: Caê Magalhães
Cinegrafista 4: David Jacomini 

Som Direto: Danilo Mejias Bressan

Gaffer: Jorge Vargas

Logger: Matheus Sabino

PREPARAÇÃO DE ELENCO
Thiago Manzo

PRODUÇÃO DE ELENCO
ViihTube

FIGURINO
Viviane Mara Felício

MAQUIAGEM
Kenia Souza
Leticia Souza

TRILHA SONORA
Gmeyer

ASSESSORIA DE COMUNICAÇÃO
Diego Palma

ASSESSORIA DE IMPRENSA
Estar Comunicação

MOTORISTA DE ARTE
Agostinho

Lúcio: Thiago Manzo
Mãe da Júlia: Nadhia Gagaus
Psicóloga: Nanda Casillas
Professor de Artes: Nando Almeida
Irmão do Pimenta: Plinio Scambora

FIGURAÇÃO
Lilith Silva
Jhonatan Sansão
Evelyn Lopes
Larih Carolina
Julia Leite
Izabella Pimenta
Ana Olliveira
Luna
Jamile Cristine
Duda NZZ
Ana Clara
Veridiane Silva
Ana Flavia Venâncio
Laiane Ribeiro
Carlos Eduardo Camargo
Amália Borges
Marcelly Eduarda
Ana Luiza
Karen Netto
Carlos Eduardo Almeida
Luis Felipe Lima
Ana Oliveira
Emilly Netto
Ana Clara Cordeiro
Santiago
Barbara Izabela
Luana Castilho
Ivani Santos
Thiago Batista
Pâmela Carvalho
Angel
Carol Sales
Carol Pereira
Daniel Fausto
Pietra Rodrigues
Ana Beatriz
Isabelly Carvalho
Santiago Silva
Ray
Veridiane Milena
Any
Karen Cristina
Ju Guimarães
Dener Carvalho
Pamela Carvalho
Thiago Alves
Eduarda Carvalho
Naty Pereira
Pedro Nogueira
Luna Silva
Ana Clara
Larissa Caroline
Mateus Barbosa
Carlos Eduardo",UCl5i1KWUAV7hdT5_tL8l6RA,https://youtu.be/lihXtqbT3mI,https://i.ytimg.com/vi/lihXtqbT3mI/mqdefault.jpg,10,,1,BR,Entertainment
8,2021-01-31T22:00:06Z,2021-02-01T10:00:00Z,24,LOUD,"['playhard', 'loud', 'boxe', 'luta', 'will', 'jordan', 'thurzin', 'dacruz', 'emuladores', 'mobile', 'treino', 'box']",A PRIMEIRA LUTA DE BOXE DA LOUD!!,884024,,1357,9735,"Jogue conosco: https://www.discord.gg/loud

Siga os participantes do vídeo:
@PlayHard   |  @LOUD THURZIN   
@LOUD JORDAN | @LOUD WILL 
@LOUD DaCRUZ | @LOUD Cauan 
 
Academia São Paulo Top Team e Ryan Gracie Granja Viana
Insta: https://www.instagram.com/gracie_granjaviana_sptt/
graciegranjaviana@gmail.com
(11) 98962-7273

Jogue conosco: https://www.discord.gg/loud

● Faça barulho conosco:
Instagram: https://www.instagram.com/loudgg/
Twitter: https://twitter.com/loudgg
Facebook:  https://www.facebook.com/loud

--------------------------------------------------------------------------

Contato comercial: agencia@loud.gg",UC7iwNp4GUynlGXvK-6KD0Rw,https://youtu.be/YqrNwZaRWUM,https://i.ytimg.com/vi/YqrNwZaRWUM/mqdefault.jpg,10,pt-BR,1,BR,Entertainment
9,2021-02-01T00:19:47Z,2021-02-01T10:00:00Z,24,Sport Club Internacional,,Entrevistas Coletivas | Inter x RB Bragantino,51969,,31,154,"----------------------
Gostou do vídeo? Então deixa o teu like, compartilha com teus amigos ou grita “vamo Inter”!!! Fique ligado, sempre tem um conteúdo novo de colorado para colorado aqui no canal.

Ainda não se inscreveu no Youtube do Inter? Ou em algum outro canal do Clube do Povo? Faça isso agora, afinal somos todos seguidores do Colorado!
------------------------
:: Site - http://www.internacional.com.br​
:: Facebook - http://www.facebook.com/SCInternacional​
:: Twitter - http://www.twitter.com/SCInternacional​
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização: Marketing e Mídia Sport Club Internacional",UC7hAvFDWwVajRqrI86KCoxA,https://youtu.be/72PcTNhaezI,https://i.ytimg.com/vi/72PcTNhaezI/mqdefault.jpg,10,pt-BR,1,BR,Entertainment
