,published_date,trending_date,category_id,channel_title,tags,video_title,views,likes,dislikes,comments,description,channel_id,link,thumbnail,hour_trending,video_lang,count,country,category_title
0,2021-02-01T12:15:30Z,2021-02-01T20:00:00Z,25,Fala Brasil,"['Roberta Piza', 'Rede Record', 'Jornalismo', 'Record', 'Fala Brasil', 'Notícias', 'Salcy Lima', 'Celso Zucatelli', 'jornalismo', 'Jornalismo Record']",Centenas de caminhoneiros entram em greve e causam paralização em rodovia de SP,404392,10400,949,1635,"Como já anunciado anteriormente, os caminhoneiros de todo o país entraram em greve nesta segunda-feira (1). Com isso, logo nas primeiras horas da manhã pode se ver filas imensas de caminhões estacionados e alguns manifestantes colocando faixas no chão em protesto. A equipe do Fala Brasil conversou com alguns caminhoneiros, que disseram que o preço do frete e também o preço do combustível são alguns dos motivos para o protesto. A recomendação do Conselho Nacional do Transporte Rodoviário de Cargas é de que os caminhoneiros façam a paralisação 'em casa', mas os que decidirem parar nas rodovias, precisam deixar as vias livres para a circulação de bens de saúde e produtos hospitalares.

Nosso Whatsapp: https://falabrasil.r7.com/whatsapp
Inscreva-se no canal Fala Brasil:   http://r7.com/ZOTL
Assista às íntegras no PlayPlus:   https://www.playplus.com
Facebook:    https://www.facebook.com/falabrasil/
Instagram:    https://www.instagram.com/fala_brasil/
Twitter:   https://twitter.com/fala_brasil
Site oficial:    https://recordtv.r7.com/fala-brasil


#FalaBrasil #SalcyLima  #ThalitaOliveira #CelsoZucatelli #RobertaPiza #CarlaCecato #SergioAguiar",UCwVmZjJwkCUCOes5_eAIebg,https://youtu.be/AwPVImAoRJI,https://i.ytimg.com/vi/AwPVImAoRJI/mqdefault.jpg,20,pt,1,BR,News & Politics
1,2021-02-01T11:50:49Z,2021-02-01T20:00:00Z,25,UOL,"['greve dos caminhoneiros', 'greve caminhoneiros', 'greve caminhoneiros 2021', 'caminhoneiros hoje', 'paralisação caminhoneiros', 'protesto caminhoneiros', 'motivo da greve dos caminhoneiros', 'greve caminhoneiros fevereiro 2021']",Caminhoneiros bloqueiam faixas da Castello Branco em protesto,542705,5929,390,1655,"Caminhoneiros interromperam na manhã de hoje o fluxo de duas pistas da Rodovia Castello Branco, na altura de Barueri (SP), e protestaram contra o governador de São Paulo, João Doria (PSDB). 
O bloqueio começou por volta das 6h (de Brasília) no km 30, sentido capital, e ocorre em um dia em que setores da categoria prometem greve pelo Brasil. Após cerca de 40 minutos em busca de adesão, eles iniciaram uma caminhada pelas duas pistas da direita da rodovia. As outras faixas estão liberadas para a passagem de outros veículos
#Caminhoneiros #Protesto #SP
-------------------------
Bem-vindo ao canal do UOL no YouTube. Aqui você encontra notícias direto da redação, tudo sobre política, matérias especiais e o melhor do mundo do entretenimento. 

** INSCREVA-SE NO CANAL: http://bit.ly/2xolCQ2",UCVFbXI6Gu8U2f9Gjtxw4A-Q,https://youtu.be/Kt_Vvv9PvYc,https://i.ytimg.com/vi/Kt_Vvv9PvYc/mqdefault.jpg,20,pt-BR,1,BR,News & Politics
2,2021-02-01T12:15:11Z,2021-02-01T20:00:00Z,22,Diana Demarchi,,[AULA 1] As Novas Costureiras de Mão Cheia do Brasil | Semana CMC,148082,11894,306,1837,"Link para o Grupo VIP no WhatsApp:
👉 https://artebr.co/grupo-whatsapp-semana-cmc

Link para a Post Oficial do Evento no Instagram: 
👉 https://artebr.co/instagram-post-oficial

Link para a Comunidade no Facebook: 
👉 https://artebr.co/facebook-semana-cmc

Link para baixar os MOLDES: 
👉 https://costureirademaocheia.com/scmc-aula01/

🧵 SEMANA DA COSTUREIRA DE MÃO CHEIA com Diana Demarchi 🧵

O MAIOR e MELHOR Evento Online de Costura do Brasil

Nesse evento 100% ONLINE e 100% GRATUITO de 01 a 06 de Fevereiro você vai descobrir:

🧵 O Passo a Passo Completo para se Tornar uma Costureira de Mão Cheia e costurar peças tão lindas que nem a sua família vai acreditar.

🤷‍♀️ Como Trabalhar com a Costura de Forma Profissional, Mesmo em Tempos de CRISE.

💰 Como Gerar de 2 a 5 Mil Reais por Mês com a Costura Trabalhando SEM SAIR DE CASA.

✅ SEIS Máquinas de Costura novinhas da Singer 😱

✅ DEZ Kits de Costura da Escola de Costurar! 👩🏽‍🏫

✅ DEZ Bolsas de Estudos para participar DE GRAÇA da próxima turma do Maior e Melhor Curso de Costura do Brasil (de acordo com as próprias alunas 😁), o Programa de Formação Costureira de Mão Cheia.

Para participar clique agora mesmo clique no link abaixo ⤵
https://artebr.co/grupo-whatsapp-semana-cmc",UCQnmd3WsYwXOz_1Z5BmAajg,https://youtu.be/HjlbGQM1nAY,https://i.ytimg.com/vi/HjlbGQM1nAY/mqdefault.jpg,20,pt,1,BR,People & Blogs
3,2021-01-31T20:18:30Z,2021-02-01T20:00:00Z,22,Free Fire - Brasil,"['garena', 'free', 'fire', 'free fire', 'diamante royale', 'pro league', 'modo cs', 'contra squad', 'jogo mobile', 'mobile', 'nova skin', 'ao vivo', 'garena free fire', 'free fire brasil', 'garena brasil', 'nova atualização', 'codiguin', 'lbff', 'liga brasileira', 'campeonato garena', 'lbff ao vivo', 'free fire ao vivo']",LBFF 4 - Rodada 4 - Grupos B e A | Free Fire,3149030,273767,2520,1914,"Os grupos B e A se enfrentaram na Rodada 4 da LBFF. 

Perdeu a transmissão ao vivo? Então se liga na minutagem:

Countdown - 00:00​
Abertura - 14:45​
Queda 1 Purgatório - Início 26:51
Queda 1 Purgatório - Booyah! do Flamengo Esports 44:10
Queda 2 Kalahari - Início 58:24​
Queda 2 Kalahari - Booyah! do Cruzeiro eSports 1:14:00
Queda 3 Bermuda - Início 1:31:20
Queda 3 Bermuda - Booyah! do Fluxo 1:49:19
Queda 4 Purgatório - Início 2:02:15
Queda 4 Purgatório - Booyah! da LOUD 2:18:56
Queda 5 Kalahari - Início 2:39:25​ 
Queda 5 Kalahari - Booyah! da Furia 2:54:05
Queda 6 Bermuda - Início 3:09:00
Queda 6 Bermuda - Booyah! da Furia 3:26:41
Destaques do Dia - 3:32:25
Líderes de abates - 3:32:55
Tabela de Classificação - 3:33:31
Entrevista - Godkill (Fluxo) - 3:36:47

Siga as redes sociais de Esports Free Fire e fique por dentro de tudo!

Twitter - https://twitter.com/FFesportsBR
Instagram - https://www.instagram.com/FFesportsBR
Facebook - https://www.facebook.com/FreeFireEspo...
Discord - http://discord.gg/freefire

Grupo A
SS e-Sports
Cruzeiro
INTZ
B4
LOUD
Fluxo

Grupo B
Vivo Keyd
Corinthians Free Fire
Team oNe
Black Dragons
FURIA
Flamengo

Grupo C
Team Liquid
RED Canids Kalunga
Santos e-Sports
paiN Gaming
GOD
META Gaming",UCr4ARxgElIO21GWfIraZezg,https://youtu.be/ArDFbln95J0,https://i.ytimg.com/vi/ArDFbln95J0/mqdefault.jpg,20,pt,1,BR,People & Blogs
4,2021-01-31T22:01:35Z,2021-02-01T20:00:00Z,22,Caio Araujo,"['Caio Araújo', 'Gringa', 'Miami', 'lamborghini', 'sv', 'carros exoticos', 'carro novo', 'new car', 'mercedes', 'glc 300', '2021']",COMPREI UM CARRO NOVO PRA MINHA MULHER,228642,23414,322,488,"Canal oficialmente patrocinado pela #BangEnergy​

Use o código CAIOA25 e ganhe 25% de desconto nos produtos do site da BANG

https://bang-energy.com/​

#EnergyDrink​

Sigam https://youtube.com/c/BangEnergy​ & https://youtube.com/c/JackOwoc

CANAL DA VITORIA : 

https://www.youtube.com/channel/UCtv6kCFVfnTvgF2scoiyewQ

CONFIRA MEU CANAL DE JOGOS
http://bit.ly/Itscaiogaming

Me siga nas redes sociais!
• Instagram ► https://instagram.com/caiolucasm
• Facebook ► https://www.facebook.com/caioaraujoyt",UCxXe1Bjpw5Y00YzqZc6CGRw,https://youtu.be/PDBpMKecMgU,https://i.ytimg.com/vi/PDBpMKecMgU/mqdefault.jpg,20,pt,1,BR,People & Blogs
5,2021-02-01T12:00:31Z,2021-02-01T20:00:00Z,22,Fabio Fregona - BACA,"['baca', 'bacca', 'fabio baca', 'fábio baca', 'fabio', 'fábio', 'fregona', 'fábio fregona', 'fabio fregona', 'pesca', 'pescaria', 'pescar', 'pescando', 'pescador', 'pesca de caiaque', 'pesca com caiaque', 'pousada piraaçu', 'video de pesca', 'vídeo de pescaria', 'video de pescaria', 'vídeo de pesca', 'fish club', 'fishclub', 'peixe', 'peixes', 'onde pescar', 'como pescar', 'isca artificial', 'isca viva', 'tucunaré', 'tucunare', 'traira', 'traíra', 'fishing', 'fish', 'kayak fishing']",NÃO DESEJO ISSO PARA NINGUÉM...,178437,18306,115,1014,"E aí, o que você acha??? Foi vacilo do pescador um uma fatalidade, um acidente que não tinha como evitar???  Clique e acompanhe esse vídeo de pescaria eletrizante, num dos lugares mais lindos que já tive o privilégio de pescar...

CONTATO POUSADA PIRAAÇU celular/whatsapp: (69) 98489-9474 

ONDE COMPRAR PRODUTOS DE PESCA: 
Quem quiser comprar algum equipamento de pesca pela internet, indico o site da ANGLER BRASIL, loja 100% confiável, com excelentes preços e ótimo atendimento. 
https://www.anglerbrasil.com.br/ 

MATERIAIS UTILIZADOS NESTA PESCARIA: 

Óculos Polarizado MATUTO ( https://www.anglerbrasil.com.br/vestuario/oculos-polarizado-matuto-armacao-preta-brilhante-lente-fume-540710-1 )

Camisa Presa Viva by Fábio Baca 02 ( https://www.anglerbrasil.com.br/vestuario/camisa-presa-viva-fabio-baca-lancamento )

Calça que vira bermuda Presa Viva ( https://www.anglerbrasil.com.br/vestuario/calca-presa-viva )

Caiaque Barracuda Profish ( https://www.anglerbrasil.com.br/nautica/caiaque-pesca/barracuda-pro-fish )

CONJUNTO 01:
Vara Okuma Trio-Lite 10-20lb ( https://www.anglerbrasil.com.br/varas/vara-p-molinete-okuma-trio-lite-s602mh-6-0-1-83m-20lb-2-partes )

Molinete Okuma Inspira 30 ( https://www.anglerbrasil.com.br/molinetes/molinete-okuma-inspira-isx-30r )

Linha YGK G-Soul Upgrade 8X, 40lb ( https://www.anglerbrasil.com.br/linhas/linha-multifilamento-ygk-g-soul-upgrade-pe-x8-200m )

CONJUNTO 02:
Vara OKUMA Citrix 10-20lb ( https://www.anglerbrasil.com.br/varas/vara-p-molinete-okuma-citrix-s602mh-6-0-1-83m-20lb-2-partes )

Molinete OKUMA Inspira 30 ( https://www.anglerbrasil.com.br/molinetes/molinete-okuma-inspira-isx-30r )

Linha YGK G-Soul Upgrade 8X, 45lb ( https://www.anglerbrasil.com.br/linhas/linha-multifilamento-ygk-g-soul-upgrade-pe-x8-200m )

CONJUNTO 03:
Vara OKUMA Reflexions 15-30lb
Molinete OKUMA Azores 40
Linha YGK Grand PE G-Soul WX8 55lb

Líder YGK Galis Absorber, 40 e 50lb ( https://www.anglerbrasil.com.br/linhas/linha-ygk-leader-absorber-galis-fluorcarbono-60m )

Snap Engate Rápido Glico, 40 e 60lb ( https://www.anglerbrasil.com.br/loja/produto.php?loja=599827&IdProd=2153 ) 

ISCAS ARTIFICIAIS UTILIZADAS NA ORDEM QUE APARECEM:

OCL Spitfire 75 ( https://www.anglerbrasil.com.br/isca-artificial/isca-superficie/isca-ocl-lures-spitfire-75 )

Bomber Long A 16

Caribe Lures Pavon Prop 11

OCL Control Minnow 85 ( https://www.anglerbrasil.com.br/isca-artificial/isca-superficie/isca-ocl-lures-control-minnow-85 )

Popper (protótipo - em testes)...

Respeite a natureza, preserve! Só há pescaria se o peixe estiver vivo... PESQUE E SOLTE!",UCFayRsJDx15WyMzZtll6EPQ,https://youtu.be/yyi1qI7CvOk,https://i.ytimg.com/vi/yyi1qI7CvOk/mqdefault.jpg,20,pt,1,BR,People & Blogs
6,2021-02-01T01:30:01Z,2021-02-01T20:00:00Z,22,anna dreamy ASMR,"['asmr', 'asmr egirl', 'egirl asmr', 'asmr relaxante', 'asmr arrepios', 'asmr camadas', 'asmr sons de boca', 'asmr mouth sounds', 'asmr sono', 'asmr dormir', 'asmr satisfatório', 'asmr tapping']",ASMR PARA QUEM NÃO SENTE ARREPIOS | SONS DE CAMADAS,112533,14264,407,1478,"nao sente arrepios com asmr? duvido nao sentir agora hehehe 

espero que gostem ♥️

instagram: annadreamyasmr 


bom soninho zZzZz",UCe7SFOrT6D_ubcwkQMUG7eA,https://youtu.be/FIoUvaQAeX8,https://i.ytimg.com/vi/FIoUvaQAeX8/mqdefault.jpg,20,,1,BR,People & Blogs
7,2021-01-31T18:15:00Z,2021-02-01T20:00:00Z,22,Adilson Figueira,"['frango assado', 'receitas fáceis', 'receitas rápidas', 'receita de frango', 'receita de frango no forno', 'receita de frango desfiado', 'como fazer frango com quiabo', 'como fazer frango desfiado', 'como fazer frango cozido', 'frango', 'Adilson Figueira', 'como fazer', 'receita simples', 'receita simples de frango']",NÃO FRITE FRANGO!! VOU TE  ENSINAR UMA MANEIRA DIFERENTE DE FAZER,102004,11488,245,292,"Um jeito diferente de fazer aquele frango em sua casa muito simples e muito saboroso que vai surpreender a todos em sua casa pois é uma receita que você vai querer fazer sempre em sua casa aqui em casa todos adoram essa receita 

##################
Macarrão cremoso almoço de domingo
Vídeo da receita:  *  https://youtu.be/lJbUGR2DJmQ
##################

###### Me segue lá no instagram : ######
https://www.instagram.com/_adilsonfigueira

Instagram da Tamiris figueira 
https://www.instagram.com/tamirisfigueira
_____________________________________________

Venha participar do nosso grupo de motos :
https://www.facebook.com/groups/325117822006513/

//////////////////////////////////
Me segue no Facebook :
https://www.facebook.com/receitasgostosasecaseiras
//////////////////////////////

querem enviar um cartinha ou presente para nosso canal o endereço é este aqui :

CAIXA POSTAL :
************************
Adilson Martins figueira
CAIXA POSTAL 5026
Rua 4 n 811 Setor Central
CEP. 74025970 - Goiânia - GO
*************************--  

Ingredientes :


1 kg de frango com preferencia com mais carne 
4 batata medias 500 gr 
1 cebola pequena
2 pimentões médio
1 colher de café de gengibre 
1 tomate grande
sal a gosto
pimenta gosto
cheiro verde a gosto
2 colher de amido de milho ( maisena )
2 colher de sopa de óleo
4 dente de alho
1 colher de açafrão
1 colher de pimenta calabresa seca 
2 colher de sopa de molho de extrato",UCNkiQbGp_yePvUJ8cUp-7cA,https://youtu.be/HjQwqUrXosc,https://i.ytimg.com/vi/HjQwqUrXosc/mqdefault.jpg,20,pt,1,BR,People & Blogs
8,2021-01-30T20:01:57Z,2021-02-01T20:00:00Z,22,Free Fire - Brasil,"['garena', 'free', 'fire', 'free fire', 'diamante royale', 'pro league', 'modo cs', 'contra squad', 'jogo mobile', 'mobile', 'nova skin', 'ao vivo', 'garena free fire', 'free fire brasil', 'garena brasil', 'nova atualização', 'codiguin', 'lbff', 'liga brasileira', 'campeonato garena', 'lbff ao vivo', 'free fire ao vivo']",LBFF 4 - Rodada 3 - Grupos B e C | Free Fire,2442917,192996,2298,1051,"Os grupos B e C se enfrentaram pela Rodada 3 da LBFF. 

Perdeu a transmissão ao vivo? Então se liga na minutagem:

Countdown - 00:00​
Abertura - 15:00​
Queda 1 Purgatório - Início 29:28
Queda 1 Purgatório - Booyah! da GOD 47:40
Queda 2 Kalahari - Início 1:08:30​
Queda 2 Kalahari - Booyah! do GOD 1:17:30
Queda 3 Bermuda - Início 1:30:38
Queda 3 Bermuda - Booyah! do Santos e-Sports 1:47:50
Queda 4 Purgatório - Início 1:59:27
Queda 4 Purgatório - Booyah! da GOD 2:16:43
Queda 5 Kalahari - Início 2:33:00​ 
Queda 5 Kalahari - Booyah! do Santos e-Sports 2:48:44
Queda 6 Bermuda - Início 3:01:16
Queda 6 Bermuda - Booyah! da Vivo Keyd 3:18:42
Destaques do Dia - 3:24:58
Líderes de abates - 3:25:45
Tabela de Classificação - 3:26:55
Entrevista - Gneral (GOD) - 3:10:15

Siga as redes sociais de Esports Free Fire e fique por dentro de tudo!

Twitter - https://twitter.com/FFesportsBR
Instagram - https://www.instagram.com/FFesportsBR
Facebook - https://www.facebook.com/FreeFireEspo...
Discord - http://discord.gg/freefire

Grupo A
SS e-Sports
Cruzeiro
INTZ
B4
LOUD
Fluxo

Grupo B
Vivo Keyd
Corinthians Free Fire
Team oNe
Black Dragons
FURIA
Flamengo

Grupo C
Team Liquid
RED Canids Kalunga
Santos e-Sports
paiN Gaming
GOD
META Gaming",UCr4ARxgElIO21GWfIraZezg,https://youtu.be/OFK1a-PBwrg,https://i.ytimg.com/vi/OFK1a-PBwrg/mqdefault.jpg,20,pt,1,BR,People & Blogs
9,2021-02-01T08:02:32Z,2021-02-01T20:00:00Z,20,Clash Royale,"['Clash Royale', 'Clash Royale Game', 'Supercell', 'Supercell Game', 'Clash Royale Supercell', 'Mobile Game']",Clash Royale: Enter The Forbidden Palace! First Elite Barbarian Emotes! (New Season!),1208657,44207,1209,1492,"#ClashRoyale #LunarNewYear

Celebrate the LUNAR NEW YEAR by entering our historic New Arena: 
The Forbidden Palace

New Emotes!
Check out the First Elite Barbarian Emotes!
Win a FREE Princess Emote from Challenge!

Don't forget to check out the exclusive PASS ROYALE rewards!

Subscribe for more! ►► http://supr.cl/SubRoyale

Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.

Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.

Lead the Clash Royale Family to victory!

FEATURES
• Duel players from around the world in real-time in both 1v1 and 2v2 Battles
• Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones
• Destroy opponent's towers and win Crowns to earn epic Crown chests
• Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses
• Construct your ultimate Battle Deck to defeat your opponents
• Progress through multiple Arenas all the way to the top
• Form a Clan to share cards and build your very own battle community
• Challenge your Clanmates and friends to a private duel, or play side-by-side in a 2v2 Battle
• Work together with your Clan to unlock Clan Chests
• Play new events every week
• Learn different battle tactics by watching the best duels on TV Royale

PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale. A network connection is also required.

Support:
Are you having problems? Visit http://supercell.helpshift.com/a/clash-royale/ or contact us in-game by going to Settings, Help and support.

Privacy Policy:
http://supercell.com/en/privacy-policy/

Terms of Service:
http://supercell.com/en/terms-of-service/

Parent's Guide:
http://supercell.com/en/parents/

#ClashRoyale",UC_F8DoJf9MZogEOU51TpTbQ,https://youtu.be/FC1qVZLWWu8,https://i.ytimg.com/vi/FC1qVZLWWu8/mqdefault.jpg,20,en,1,BR,Gaming
